"X","Y","Z","GpsTime"
585371.730,5403209.701,2542.410,124646313.862
585495.180,5403089.212,2611.410,124646314.548
585513.061,5402938.133,2690.520,124646317.027
585377.630,5402937.678,2672.270,124646318.580
585114.222,5403074.262,2540.510,124646319.352
585251.577,5402909.598,2630.420,124646320.588
585118.203,5402813.808,2728.990,124646324.227
585267.921,5402668.388,2784.560,124646324.673
585127.221,5402494.351,2630.180,124646329.060
584872.629,5402560.190,2707.690,124646331.224
584994.429,5402418.921,2535.090,124646331.653
584840.671,5402527.338,2581.770,124646331.933
584957.269,5402345.582,2734.320,124646333.707
584663.057,5402474.053,2432.640,124646334.761
584475.360,5402271.458,2220.680,124646340.640
584342.971,5402238.541,2201.520,124646342.869
584728.588,5401905.357,2168.360,124646343.247
584478.352,5402025.528,2145.850,124646344.401
584152.769,5402205.692,2235.010,124646345.743
583973.292,5402136.402,2335.020,124646453.877
584008.832,5401860.638,3376.210,124646454.231
584486.160,5401897.500,2141.360,124646456.749
584282.321,5402206.107,2266.290,124646458.084
584207.302,5402378.790,2350.470,124646459.025
584615.530,5402028.041,2155.030,124646460.987
584579.942,5402252.169,2224.690,124646462.877
584450.619,5402549.028,2477.610,124646464.204
584739.799,5402288.371,2326.870,124646466.560
584714.489,5402521.477,2539.000,124646468.923
584854.008,5402365.760,2427.840,124646469.068
584873.870,5402419.541,2508.840,124646470.119
584944.163,5402355.673,2432.570,124646470.287
584992.093,5402551.470,2728.640,124646473.572
584973.268,5402636.859,2781.590,124646474.279
585358.969,5402970.423,2625.210,124646482.473
585318.303,5403258.850,2241.620,124646483.789
585734.277,5403229.679,2629.690,124646489.262
585752.403,5403363.688,2608.410,124646490.548
585766.409,5403450.381,2680.000,124646491.725
585639.432,5403835.021,2433.530,124646492.761
585874.968,5403498.658,2626.350,124646493.363
585894.371,5403455.891,2698.750,124646493.466
585699.197,5403886.099,2432.600,124646493.937
585954.097,5403554.250,2630.860,124646494.855
585978.453,5403605.053,2569.530,124646495.479
586051.033,5403714.698,2667.620,124646497.948
586143.978,5403718.517,2680.180,124646499.299
585985.743,5404173.041,2432.580,124646500.734
586229.968,5403828.402,2630.000,124646501.562
586175.567,5403986.441,2646.160,124646502.258
586279.941,5403997.053,2708.050,124646503.790
586292.483,5404211.800,2630.220,124646505.626
586373.009,5404225.599,2642.650,124646507.045
586401.911,5404263.181,2557.420,124646507.559
586536.648,5404122.629,2686.830,124646508.760
586547.088,5404222.170,2644.930,124646509.890
586527.792,5404391.359,2501.360,124646510.945
586632.441,5404199.582,2628.180,124646510.976
586655.312,5404288.943,2572.870,124646512.165
586683.957,5404242.037,2639.610,124646512.324
586519.327,5404659.122,2384.390,124646513.750
586779.010,5404675.279,2395.410,124646517.504
586803.417,5404777.619,2373.670,124646518.925
586873.943,5404894.249,2403.500,124646521.213
587052.567,5404651.372,2662.570,124646521.920
587042.661,5404923.581,2527.070,124646524.108
587434.298,5404930.861,2340.220,124646528.730
587522.908,5405271.941,2235.640,124646533.427
587692.468,5405189.067,2303.010,124646535.065
587559.130,5405454.448,2150.250,124646535.732
587164.567,5405458.587,2189.020,124646669.730
587236.977,5405382.282,2235.110,124646670.155
587074.941,5405458.322,2208.220,124646670.791
586900.332,5405312.692,2380.080,124646675.755
586901.052,5405183.543,2383.290,124646677.788
586776.339,5405180.890,2342.210,124646680.100
586897.891,5405063.333,2405.530,124646680.477
586648.148,5404919.258,2348.240,124646686.081
586929.338,5404660.261,2485.650,124646687.115
586522.462,5404787.539,2339.500,124646689.158
586721.502,5404584.952,2432.140,124646690.435
586393.542,5404659.790,2371.410,124646693.766
586543.300,5404530.990,2428.460,124646693.974
586524.131,5404516.262,2451.540,124646694.619
586392.650,5404538.913,2394.760,124646696.024
586427.979,5404506.438,3131.940,124646698.413
586531.529,5404275.227,2548.700,124646699.342
586131.148,5404522.641,2365.220,124646700.139
586267.200,5404419.211,2417.070,124646700.226
586120.618,5404424.231,2427.970,124646702.038
586412.559,5404189.548,2624.750,124646702.652
586257.848,5404274.561,2568.240,124646703.238
586003.539,5404390.572,2340.770,124646704.198
586143.612,5404263.067,2515.540,124646704.974
586280.980,5404125.689,2678.900,124646705.967
585875.859,5404265.808,2376.180,124646708.721
586015.780,5403992.788,2514.410,124646711.900
585889.808,5404039.447,2432.020,124646712.583
585890.010,5403862.917,2493.030,124646715.666
586003.641,5403749.377,2524.230,124646716.189
585759.228,5403858.587,2462.900,124646717.854
585761.532,5403730.629,2502.040,124646719.836
585758.332,5403603.550,2529.890,124646722.417
585736.501,5403514.489,2581.060,124646724.448
585622.273,5403362.992,2582.370,124646729.376
585292.080,5403544.817,2432.620,124646730.334
585377.002,5403460.821,2478.470,124646730.933
585498.120,5403340.499,2543.640,124646731.860
585373.461,5403338.141,2516.630,124646733.665
585507.760,5403210.330,2565.980,124646735.158
585104.461,5403377.911,2432.280,124646735.860
585113.331,5403202.678,2516.790,124646739.649
585243.911,5403077.428,2564.660,124646741.545
585108.523,5402950.680,2579.600,124646746.083
584994.908,5402987.341,2585.630,124646747.207
585113.462,5402898.050,2634.670,124646747.229
584904.262,5402903.792,2689.730,124646751.047
584832.139,5402840.712,2588.190,124646753.003
584858.350,5402803.102,2719.800,124646753.739
584908.679,5402753.628,2844.300,124646754.402
584812.892,5402789.050,3170.430,124646755.841
584873.552,5402695.702,2838.880,124646755.888
584600.731,5402814.407,2552.540,124646756.429
584849.948,5402670.593,2758.830,124646756.469
584664.278,5402580.140,2638.650,124646760.131
584335.720,5402679.449,2547.050,124646762.371
584600.530,5402410.209,2351.960,124646763.566
584297.559,5402429.770,2433.940,124646767.590
584198.393,5402417.600,2441.490,124646769.224
584078.302,5402413.952,2528.680,124646770.915
584049.942,5402327.968,2443.090,124646772.576
584347.462,5402020.243,2146.280,124646773.780
583939.252,5402282.411,2527.160,124646775.674
583930.272,5402161.819,2525.040,124646778.163
583891.422,5401740.689,2187.980,124646785.635
583703.018,5401624.761,2324.100,124646929.720
583286.952,5402113.923,2147.620,124646930.236
583658.990,5401902.563,2391.970,124646932.507
583545.929,5402124.833,2363.090,124646933.010
583951.447,5401876.038,2189.360,124646935.455
584005.153,5402016.900,2194.340,124646937.892
583908.380,5402300.480,2688.870,124646940.076
584217.008,5402018.437,2147.070,124646940.942
583934.001,5402456.062,2397.990,124646941.035
583946.553,5402540.477,2362.210,124646941.894
584192.122,5402322.699,2294.160,124646943.421
584022.702,5402567.207,2424.230,124646943.500
584344.411,5402149.532,2175.730,124646943.739
584067.130,5402672.018,2353.270,124646945.169
584471.781,5402413.280,2334.290,124646948.674
584460.480,5402525.571,2415.110,124646949.653
584453.343,5402711.522,2637.180,124646951.601
584464.093,5402935.802,2539.530,124646953.619
584716.880,5402699.838,2618.280,124646954.762
584594.280,5402935.511,2525.480,124646955.293
584768.858,5402753.779,2630.220,124646955.975
584722.382,5403058.529,2470.040,124646957.949
584855.477,5402939.452,2530.350,124646958.625
584727.277,5403197.820,2434.210,124646959.161
584746.637,5403263.308,2432.650,124646959.995
584858.363,5403197.088,2447.400,124646960.872
584987.578,5403070.488,2507.200,124646961.553
584988.798,5403324.401,2459.190,124646963.602
584959.890,5403386.272,2423.760,124646963.715
584974.998,5403594.133,2343.160,124646965.603
585241.660,5403449.701,2445.910,124646968.174
585103.057,5403726.721,2336.260,124646968.692
585351.813,5403601.849,2409.490,124646971.108
585377.443,5403588.077,2434.810,124646971.378
585356.202,5403741.239,2358.110,124646972.346
585504.232,5403592.777,2477.270,124646973.108
585492.103,5403652.201,2432.600,124646973.444
585488.973,5403730.940,2385.640,124646974.083
585627.991,5403602.732,2533.720,124646974.930
585469.249,5403862.778,2358.750,124646974.959
585603.603,5403770.851,2411.320,124646975.860
585634.351,5403722.843,2453.220,124646975.888
585486.092,5403990.710,2352.650,124646976.212
585769.571,5403973.963,2432.620,124646979.825
585899.331,5403986.207,2468.500,124646981.682
585901.982,5404109.327,2432.620,124646982.441
586019.632,5404116.999,2464.030,124646983.825
586011.170,5404271.157,2379.290,124646984.869
586047.723,5404234.571,2432.650,124646985.217
586139.311,5404128.790,2539.720,124646985.811
586265.323,5404379.580,2505.500,124646990.628
586304.008,5404465.369,2432.630,124646991.806
586403.147,5404386.129,2503.780,124646992.752
586407.333,5404505.698,2440.380,124646993.727
586654.020,5404666.747,2413.340,124646998.568
586516.677,5405045.072,2307.780,124647000.376
586771.769,5405046.261,2341.660,124647003.618
587042.723,5405042.180,2485.590,124647007.259
587045.711,5405083.812,2415.710,124647007.347
587020.848,5405422.872,2277.390,124647009.489
587162.592,5405302.930,2290.330,124647010.236
587149.639,5405418.042,2235.250,124647011.090
587281.171,5405701.762,2070.520,124647015.664
587416.129,5405695.857,2046.860,124647018.400
587558.499,5405705.019,2042.840,124647021.814
587184.171,5405371.030,2234.910,124647177.283
586520.651,5404916.113,2335.760,124647193.545
586267.971,5404911.381,2281.610,124647197.795
586265.107,5404780.431,2310.680,124647200.799
586266.747,5404647.541,2350.610,124647203.459
585959.701,5404773.288,2234.410,124647205.411
586133.339,5404649.920,2333.580,124647205.451
585861.103,5404781.170,2201.160,124647206.624
586149.427,5404381.360,2496.690,124647209.731
586062.383,5404352.888,2434.620,124647211.112
585750.237,5404253.082,2338.350,124647216.725
585876.273,5404134.328,2419.970,124647217.268
585752.709,5404144.338,2367.780,124647218.485
585780.720,5404020.353,2355.540,124647220.285
585611.197,5403987.168,2362.690,124647223.435
585619.489,5403855.921,2406.010,124647225.580
585241.579,5403977.509,2289.740,124647228.247
585363.079,5403857.649,2332.790,124647229.067
585506.582,5403689.140,2463.720,124647230.789
585008.210,5403975.327,2235.940,124647231.515
585239.949,5403722.711,2344.830,124647233.597
584982.902,5403833.822,2273.190,124647234.698
585214.999,5403587.048,2379.300,124647236.555
585108.441,5403580.609,2359.770,124647238.285
585235.007,5403483.008,2431.950,124647238.717
585113.288,5403491.107,2401.760,124647240.111
585113.310,5403434.110,2432.670,124647241.049
584990.630,5403412.809,2432.610,124647242.820
584845.453,5403453.413,2369.970,124647243.613
584719.680,5403474.201,2353.540,124647244.610
584878.463,5403302.467,2432.610,124647246.074
584585.783,5403456.537,2345.620,124647246.636
584843.141,5403210.568,2423.260,124647248.130
584723.747,5403207.778,2428.800,124647249.690
584565.880,5403162.640,2432.680,124647252.872
584440.707,5403209.450,2370.080,124647253.479
584589.908,5403057.440,2480.480,124647254.931
584725.823,5402935.052,2522.690,124647255.668
584378.237,5403109.330,2423.220,124647256.837
584463.608,5403054.959,2487.590,124647257.047
584205.482,5403070.638,2466.990,124647260.519
584470.888,5402813.611,2563.570,124647262.154
584309.242,5402840.597,2432.120,124647263.307
584193.029,5402679.769,2425.520,124647267.747
583912.709,5402806.129,2230.770,124647268.573
584337.497,5402505.423,2419.660,124647269.056
584209.777,5402538.118,2530.050,124647270.285
584082.180,5402276.598,2333.220,124647276.348
583842.709,5402450.178,2377.630,124647276.494
584006.220,5402274.483,2402.730,124647277.577
583709.049,5402455.083,2406.100,124647278.205
584077.780,5402152.400,2204.250,124647278.236
583690.437,5402424.682,2647.770,124647279.408
583683.671,5402394.148,2545.260,124647279.774
583824.592,5402290.693,2707.280,124647280.317
583708.482,5402285.980,2647.840,124647281.858
583844.001,5402188.057,2674.460,124647281.893
583828.673,5402132.773,2560.210,124647282.739
583853.390,5402026.757,2395.000,124647283.817
583563.138,5402279.871,3075.910,124647284.835
583730.559,5401993.411,2485.060,124647286.244
583535.187,5402009.788,2232.830,124647287.781
583525.690,5401878.103,2216.360,124647290.283
583168.707,5402095.779,2152.960,124647290.808
583492.021,5401813.530,2289.950,124647291.901
583575.427,5401734.903,2362.970,124647292.456
583446.263,5401748.908,2323.110,124647293.987
582911.227,5401998.379,1945.180,124647543.583
583210.371,5401592.300,2116.620,124647543.725
583328.947,5401725.527,2109.310,124647546.507
583230.427,5401875.529,2037.410,124647546.546
583373.468,5401699.138,2239.290,124647547.119
583028.801,5402265.778,1972.360,124647547.517
583105.777,5402276.031,2037.340,124647548.617
583319.130,5402006.719,2084.060,124647548.928
583420.871,5402542.623,2351.800,124647557.973
583707.289,5402243.922,2588.980,124647558.847
583679.812,5402796.652,2163.070,124647563.044
583939.699,5402418.132,2530.940,124647563.202
583847.352,5402648.427,2664.540,124647564.581
583960.137,5402802.970,2276.560,124647566.656
584222.520,5402661.327,2477.750,124647568.830
584055.738,5403058.171,2568.560,124647570.416
